開始時間,結束時間,使用時間(HH:MM:SS),刷新次數,天空石消耗,聖約書籤獲得,神秘書籤獲得,友情書籤獲得,金幣消耗,聖約出現率(%),神秘出現率(%)
2026-06-23 20:49:37,2026-06-23 20:50:47,00:01:09,10,27,0,0,0,0,0.00,0.00
2026-06-23 20:51:06,2026-06-23 20:51:22,00:00:16,2,6,0,0,0,0,0.00,0.00
2026-06-23 20:52:26,2026-06-23 20:52:26,00:00:00,0,0,0,0,0,0,0.00,0.00
2026-06-23 20:52:45,2026-06-23 20:52:54,00:00:08,1,3,0,0,0,0,0.00,0.00
2026-06-23 20:54:04,2026-06-23 20:54:12,00:00:08,1,0,5,0,0,184000,100.00,0.00
2026-06-23 20:54:26,2026-06-23 20:54:34,00:00:08,1,0,5,0,0,184000,100.00,0.00
2026-06-23 20:54:51,2026-06-23 20:58:05,00:03:14,26,78,0,0,0,0,0.00,0.00
2026-06-23 20:59:48,2026-06-23 20:59:51,00:00:02,0,0,0,0,0,0,0.00,0.00
2026-06-23 20:59:59,2026-06-23 21:00:02,00:00:02,0,0,0,0,0,0,0.00,0.00
2026-06-23 21:00:19,2026-06-23 21:00:22,00:00:02,0,0,0,0,0,0,0.00,0.00
2026-06-23 21:00:37,2026-06-23 21:00:41,00:00:04,1,0,0,0,0,0,0.00,0.00
2026-06-23 21:00:49,2026-06-23 21:00:51,00:00:02,0,0,0,0,0,0,0.00,0.00
2026-06-23 21:01:54,2026-06-23 21:02:02,00:00:08,1,0,0,50,0,280000,0.00,100.00
2026-06-25 01:33:02,2026-06-25 01:33:07,00:00:04,1,0,0,0,0,0,0.00,0.00
2026-06-25 01:34:07,2026-06-25 01:34:12,00:00:04,1,0,0,0,0,0,0.00,0.00
2026-06-25 01:37:52,2026-06-25 01:37:57,00:00:04,1,0,0,0,0,0,0.00,0.00
2026-06-25 01:38:11,2026-06-25 01:38:15,00:00:04,1,0,0,0,0,0,0.00,0.00
2026-06-25 01:46:20,2026-06-25 01:46:28,00:00:08,1,0,5,0,0,184000,100.00,0.00
2026-06-25 01:48:46,2026-06-25 01:49:13,00:00:26,4,9,0,0,0,0,0.00,0.00
2026-06-25 01:57:18,2026-06-25 01:57:24,00:00:05,0,0,0,50,0,280000,0.00,100.00
2026-06-25 01:58:27,2026-06-25 02:00:07,00:01:39,14,39,0,0,0,0,0.00,0.00
2026-06-25 02:00:37,2026-06-25 02:04:48,00:04:10,34,102,0,0,0,0,0.00,0.00
2026-06-25 02:16:03,2026-06-25 02:16:11,00:00:07,1,3,0,0,0,0,0.00,0.00
2026-06-25 02:17:24,2026-06-25 02:17:37,00:00:13,2,3,0,0,0,0,0.00,0.00
2026-06-25 02:17:42,2026-06-25 02:18:43,00:01:01,8,24,0,0,0,0,0.00,0.00
2026-06-25 02:29:16,2026-06-25 02:29:19,00:00:03,0,0,0,0,0,0,0.00,0.00
2026-06-25 02:29:31,2026-06-25 02:29:38,00:00:06,0,0,5,0,0,184000,100.00,0.00
2026-06-25 02:35:47,2026-06-25 02:43:54,00:08:06,66,198,5,0,0,184000,1.52,0.00
2026-06-25 02:58:08,2026-06-25 02:58:09,00:00:01,0,0,0,0,0,0,0.00,0.00
2026-06-25 02:59:51,2026-06-25 02:59:54,00:00:03,0,0,0,0,0,0,0.00,0.00
2026-06-25 03:00:57,2026-06-25 03:01:05,00:00:08,1,0,5,0,0,184000,100.00,0.00
2026-06-25 03:01:15,2026-06-25 03:01:29,00:00:14,2,6,0,0,0,0,0.00,0.00
2026-06-25 03:01:56,2026-06-25 03:02:00,00:00:04,1,0,0,0,0,0,0.00,0.00
2026-06-25 03:02:19,2026-06-25 03:02:23,00:00:04,1,0,0,0,0,0,0.00,0.00
2026-06-25 03:03:05,2026-06-25 03:03:10,00:00:04,1,0,0,0,0,0,0.00,0.00
2026-06-25 03:08:10,2026-06-25 03:08:14,00:00:03,1,0,0,0,0,0,0.00,0.00
2026-06-25 03:22:45,2026-06-25 03:22:45,00:00:00,0,0,0,0,0,0,0.00,0.00
2026-06-25 18:44:19,2026-06-25 18:44:34,00:00:15,2,3,5,0,0,184000,50.00,0.00
2026-06-25 18:51:32,2026-06-25 18:52:09,00:00:36,5,15,0,0,0,0,0.00,0.00
2026-06-25 18:52:20,2026-06-25 18:55:42,00:03:21,27,78,10,0,0,368000,7.41,0.00
2026-06-25 19:10:53,2026-06-25 19:11:53,00:00:59,8,21,5,0,0,184000,12.50,0.00
2026-06-25 19:12:53,2026-06-25 19:13:14,00:00:20,2,6,5,0,0,184000,50.00,0.00
2026-06-25 19:38:31,2026-06-25 20:05:57,00:27:26,220,657,50,100,0,2400000,4.55,0.91
2026-06-25 20:14:09,2026-06-25 20:16:47,00:02:37,21,60,10,0,0,368000,9.52,0.00
2026-06-25 20:18:56,2026-06-25 20:18:59,00:00:02,0,0,0,0,0,0,0.00,0.00
2026-06-25 20:24:41,2026-06-25 20:28:03,00:03:22,27,78,10,0,0,368000,7.41,0.00
